状态,源文件,类型,源文件字节,当前构建归属字节,构建分包,判定说明
动态保留,assets/scripts/kbe_scripts/Account.js,script,22057,0,,KBEngine 实体类型按名称动态装载，来自 assets/scripts/GameDataManager.ts；KBEngine 实体类型按名称动态装载，来自 assets/scripts/kbe_scripts/kbengine.js
动态保留,assets/scripts/test/sha512.js,script,13469,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/UI/panelSJB.ts,script,11727,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/sha3.js,script,10645,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/md5.js,script,9418,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/ripemd160.js,script,9387,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/UI/testcc.js,script,9000,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/x64-core.js,script,8888,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/UI/panelCreateRoom.ts,script,8857,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/aes.js,script,8649,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/rabbit-legacy.js,script,6714,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/rabbit.js,script,6678,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/sha256.js,script,5538,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/UI/panelYLinfo.ts,script,4687,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/pbkdf2.js,script,4536,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/enc-base64url.js,script,4435,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/enc-utf16.js,script,4086,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/enc-base64.js,script,4081,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/sha1.js,script,4063,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/evpkdf.js,script,3993,0,,Cocos 脚本合包或全局模块，保守保留
